기간	구분	총지수	식료품 및 비주류음료	식료품 및 비주류음료	식료품 및 비주류음료	주류ㆍ담배	주류ㆍ담배	주류ㆍ담배	의복 및 신발	의복 및 신발	의복 및 신발	주택ㆍ수도ㆍ전기 및 연료	주택ㆍ수도ㆍ전기 및 연료	주택ㆍ수도ㆍ전기 및 연료	주택ㆍ수도ㆍ전기 및 연료	주택ㆍ수도ㆍ전기 및 연료	가정용품 및 가사서비스	가정용품 및 가사서비스	가정용품 및 가사서비스	가정용품 및 가사서비스	가정용품 및 가사서비스	가정용품 및 가사서비스	가정용품 및 가사서비스	보건	보건	보건	보건	교통	교통	교통	교통	통신	통신	통신	통신	오락 및 문화	오락 및 문화	오락 및 문화	오락 및 문화	오락 및 문화	오락 및 문화	오락 및 문화	교육	교육	교육	교육	음식 및 숙박	음식 및 숙박	음식 및 숙박	기타 상품 및 서비스	기타 상품 및 서비스	기타 상품 및 서비스	기타 상품 및 서비스
기간	구분	총지수	계	식료품	비주류음료	계	주류	담배	계	의류	신발	계	주택임차료	주거시설유지ㆍ보수	수도 및 주거관련 서비스	전기 가스 및 기타연료	계	가구 가사비품 및 카페트	가정용 섬유제품	가정용 기기	주방용품 및 가정용품	가정ㆍ정원용 공구 및 장비	일상 생활용품 및 가사서비스	계	의료용품 및 장비	외래환자 서비스	병원서비스	계	운송장비	개인운송장비 운영	운송서비스	계	우편서비스	전화 및 팩스장비	전화 및 팩스서비스	계	음향 영상 사진 및 정보처리 장비	기타 오락 및 문화용 주요내구재	기타 오락용품 조경용품 및 애완동물	오락 및 문화서비스	신문 서적 및 문방구	단체여행	계	유치원 및 초등교육	고등교육	기타교육	계	음식서비스	숙박서비스	계	미용용품 및 미용서비스	기타 개인용품	기타 서비스
2013.03	구분	91.719	86.161	85.567	95.716	65.163	88.664	56.4	89.032	88.713	90.543	91.994	87.597	80.44	80.215	125.57	88.215	80.051	94.388	91.101	90.243	95.342	86.327	94.562	96.237	92.047	97.995	105.876	101.306	128.708	86.807	105.181	74.34	109.305	106.854	99.101	125.096	99.181	94.015	91.067	89.315	108.219	92.755	85.941	101.165	85.298	85.591	85.615	84.659	84.802	92.678	80.486	76.318
2013.04	구분	91.702	86.713	86.199	95.13	65.163	88.673	56.4	88.054	88.72	84.091	92.165	87.857	80.749	80.004	125.559	87.888	78.805	94.388	91.318	89.294	95.013	86.135	94.479	96.342	91.914	97.6	105.039	101.236	126.741	86.651	105.005	74.34	102.417	106.854	99.634	124.186	100.266	92.623	91.206	89.323	111.765	92.773	85.941	101.165	85.314	85.655	85.672	85.096	84.494	93.041	77.09	76.318
2013.05	구분	91.702	85.563	84.927	95.648	65.176	88.716	56.4	89.291	89.648	87.016	92.328	88.054	80.764	80.365	125.549	88.002	78.309	94.388	91.237	90.682	95.271	86.512	94.726	97.282	91.782	97.6	103.88	100.898	123.98	86.62	105.082	74.34	105.708	106.854	100.05	125.112	100.22	92.98	91.283	89.323	112.892	92.853	85.941	101.165	85.421	85.791	85.8	85.592	85.769	94.465	80.027	76.328
2013.06	구분	91.566	84.429	83.76	95.063	65.176	88.707	56.4	89.445	89.898	86.69	92.368	88.228	80.764	79.616	125.549	88.55	79.354	94.388	90.901	90.976	95.271	87.823	94.716	97.205	91.808	97.6	104.003	101.106	124.136	86.674	105.082	74.34	105.708	106.854	99.381	125.707	99.962	91.756	91.588	90.505	108.585	92.862	85.941	101.165	85.445	85.791	85.792	86.156	85.838	94.551	80.126	76.318
2013.07	구분	91.745	85.226	84.561	95.841	65.126	88.519	56.4	88.774	89.866	82.406	92.491	88.37	80.764	79.5	125.794	87.651	79.354	94.388	91.21	88.37	95.156	85.371	93.895	97.329	90.147	97.6	104.755	100.928	125.69	87.095	105.082	74.34	105.708	106.854	101.891	126.806	100.284	91.292	91.892	90.718	119.411	92.871	85.941	101.165	85.452	85.831	85.76	90.086	85.778	94.982	78.105	76.318
2013.08	구분	92.076	87.694	87.214	95.498	65.208	88.836	56.4	89.493	89.858	87.179	92.775	88.623	80.793	79.459	126.542	87.675	79.132	94.388	91.274	90.714	97.781	84.562	93.977	97.642	90.103	97.692	105.059	100.987	126.294	87.22	105.104	82.19	105.708	106.854	102.686	125.99	100.284	92.006	91.666	90.718	123.57	92.951	85.941	101.165	85.56	85.863	85.76	92.265	81.692	87.734	78.865	76.318
2013.09	구분	92.29	87.533	87.084	94.694	65.176	88.707	56.4	90.034	89.882	90.641	92.865	88.789	80.793	79.269	126.531	88.575	79.132	94.303	92.981	89.861	101.351	85.633	94.123	98.307	89.935	97.72	104.564	101.106	125.411	86.814	105.06	82.19	104.057	106.854	101.106	126.885	100.063	92.631	91.249	90.736	115.865	92.987	85.941	101.153	85.614	85.783	85.8	85.314	86.866	95.888	81.845	76.278
2013.10	구분	92.051	85.417	84.836	94.72	65.214	88.853	56.4	90.034	89.882	90.641	93.069	88.978	81.138	79.773	126.531	88.632	79.132	94.191	94.551	87.628	101.422	84.978	94.105	98.344	89.776	98.022	104.574	101.474	124.047	87.929	105.06	82.19	104.057	106.854	100.369	125.723	99.916	92.56	91.492	90.94	112.526	92.987	85.941	101.153	85.614	85.879	85.897	85.396	87.337	96.432	82.859	76.298
2013.11	구분	92.042	84.222	83.592	94.393	65.233	88.921	56.4	92.637	93.036	90.177	93.37	89.089	81.138	79.909	127.887	89.498	79.399	94.303	94.17	90.586	101.422	87.098	94.087	98.363	89.724	98.022	103.994	101.007	122.974	87.75	105.06	82.19	104.057	106.854	99.13	124.782	99.843	92.417	91.501	90.957	107.34	92.997	85.941	101.153	85.629	85.887	85.913	85.336	87.174	96.061	83.19	76.298
2013.12	구분	92.179	84.528	83.913	94.502	65.201	88.81	56.4	92.629	93.02	90.177	93.573	89.333	81.138	80.208	127.887	88.795	79.399	94.303	92.907	90.131	101.422	86.135	94.151	98.467	89.724	98.216	104.137	100.461	123.275	88.038	105.06	82.19	104.057	106.854	99.304	125.551	99.843	93.114	91.561	91.408	106.737	93.059	85.941	101.153	85.698	86.096	86.082	87.5	87.577	96.717	83.479	76.209
